normalized_name,metabolite_name,hmdb_id,pubchem_cid,chebi_id,kegg_id,plasma_benchmark,nist_srm1950,hmdb_biofluid,serum_evidence,endogenous_hint,lipid_class,ghosh_2024_plasma,ghosh_2024_all5_cohorts,ghosh_2024_core_50pct,serum_metabolome,srm1950_db,source_count,evidence_tier
(+)-norgestrel,(+)-Norgestrel,HMDB0242257,4542,7630,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-pentazocine,(+)-Pentazocine,HMDB0243543,4736,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-praeruptorin a,(+)-Praeruptorin A,HMDB0242259,73189387,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+)-thaliporphine,(+)-Thaliporphine,HMDB0242264,100020,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+-)-(4ar*,10r*,10as*)-8-chloro-1,2,3,4,10,10a-hexahydro-2-methyl-4a,10-(iminoethano)-4ah-(1)benzopyrano(3,2-c)pyridin-12-one","(+-)-(4Ar*,10R*,10aS*)-8-Chloro-1,2,3,4,10,10a-hexahydro-2-methyl-4a,10-(iminoethano)-4aH-(1)benzopyrano(3,2-c)pyridin-12-one",HMDB0242234,3053755,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+-)-carbovir,(+-)-Carbovir,HMDB0242235,72192,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+-)-ethylketocyclazocine,(+-)-Ethylketocyclazocine,HMDB0242236,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+-)-zoapatanol,(+-)-Zoapatanol,HMDB0242237,574933,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-(e)-4-ethyl-2-[(z)-hydroxyimino]-5-nitro-3-hexen-1-yl-nicotinamide,(+/-)-(e)-4-Ethyl-2-[(z)-hydroxyimino]-5-nitro-3-hexen-1-yl-nicotinamide,HMDB0242266,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-(e)-ethyl-2-[(e)-hydroxyimino]-5-nitro-3-hexeneamide,(+/-)-(E)-Ethyl-2-[(E)-hydroxyimino]-5-nitro-3-hexeneamide,HMDB0242267,6809956,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-(e)-methyl-2-[(e)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide,(+/-)-(E)-Methyl-2-[(E)-hydroxyimino]-5-nitro-6-methoxy-3-hexeneamide,HMDB0242268,6809955,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+/-)-11,12-dihydroxy-5z,8z,14z,17z-eicosatetraenoic acid","(+/-)-11,12-Dihydroxy-5Z,8Z,14Z,17Z-eicosatetraenoic acid",HMDB0242269,73229382,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+/-)-18-hydroxy-5z,8z,11z,14z,16e-eicosapentaenoic acid","(+/-)-18-Hydroxy-5Z,8Z,11Z,14Z,16E-eicosapentaenoic acid",HMDB0242270,53394254,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(+/-)-8-hydroxy-5z,9e,11z,14z,17z-eicosapentaenoic acid","(+/-)-8-Hydroxy-5Z,9E,11Z,14Z,17Z-eicosapentaenoic acid",HMDB0242271,53394250,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-ambrisentan,(+/-)-Ambrisentan,HMDB0242272,197712,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-dicentrine,(+/-)-Dicentrine,HMDB0242273,630859,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-ethylketocyclazocine,(+/-)-Ethylketocyclazocine,HMDB0242274,4491166,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(+/-)-ibipinabant,(+/-)-Ibipinabant,HMDB0242276,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(-)-1-[5-chloro-1-(2,4-dimethoxyphenylsulfonyl)-3-(2-methoxyphenyl)-2-oxo-2,3-dihydro-1h-indol-3-yl]-4(r)-hydroxy-l-proline n,n-dimethylamide","(-)-1-[5-Chloro-1-(2,4-dimethoxyphenylsulfonyl)-3-(2-methoxyphenyl)-2-oxo-2,3-dihydro-1H-indol-3-yl]-4(R)-hydroxy-L-proline N,N-dimethylamide",HMDB0242195,21905905,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(-)-1-chloro-2-(2,2,2-trichloro-1-(4-chlorophenyl)ethyl)benzene","(-)-1-Chloro-2-(2,2,2-trichloro-1-(4-chlorophenyl)ethyl)benzene",HMDB0242196,13089,,C14187,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-2-difluoromethylornithine,(-)-2-Difluoromethylornithine,HMDB0242197,3009,41948,C07997,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-3-(4-(2-(phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid,(-)-3-(4-(2-(Phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid,HMDB0242198,4630913,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-4-hydroxynorephedrin,(-)-4-Hydroxynorephedrin,HMDB0243504,11099,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-abscisic acid,(-)-Abscisic acid,HMDB0243505,287291,93815,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(-)-alpha-5,9-dimethyl-2-(3-furylmethyl)-2'-hydroxy-6,7-benzomorphane","(-)-alpha-5,9-Dimethyl-2-(3-furylmethyl)-2'-hydroxy-6,7-benzomorphane",HMDB0242200,431327,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-alpha-tocopherol,(-)-alpha-Tocopherol,HMDB0242201,2116,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-armepavine,(-)-Armepavine,HMDB0242202,98348,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-bremazocine,(-)-Bremazocine,HMDB0242204,1223,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-cis-beta-elemene,(-)-cis-beta-Elemene,HMDB0242206,10583,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-cytisine,(-)-Cytisine,HMDB0242209,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-deoxypodophyllotoxin,(-)-Deoxypodophyllotoxin,HMDB0242210,2203,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epicatechin 3'-o-glucuronide,(-)-Epicatechin 3'-O-glucuronide,HMDB0041728,76969982,149599,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epicatechin 3-o-gallate,(-)-Epicatechin 3-O-gallate,HMDB0037944,107905,70255,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epicatechin 7-o-glucuronide,(-)-Epicatechin 7-O-glucuronide,HMDB0041729,76961592,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epicatechin-3'-o-glucuronide,(-)-epicatechin-3'-O-glucuronide,HMDB0029164,131750793,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin,(-)-Epigallocatechin,HMDB0038361,72277,42255,C12136,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin 3'-glucuronide,(-)-Epigallocatechin 3'-glucuronide,HMDB0041638,76970196,168245,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin 3-(4-methyl-gallate),(-)-Epigallocatechin 3-(4-methyl-gallate),HMDB0040293,401129,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(-)-epigallocatechin 3-gallate 7-glucoside 4""-glucuronide","(-)-Epigallocatechin 3-gallate 7-glucoside 4""-glucuronide",HMDB0041730,102025303,176322,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin 3-glucuronide,(-)-Epigallocatechin 3-glucuronide,HMDB0041639,101449862,168759,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin 7-glucuronide,(-)-Epigallocatechin 7-glucuronide,HMDB0041640,76959109,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-epigallocatechin sulfate,(-)-Epigallocatechin sulfate,HMDB0012468,53481415,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-gallocatechin gallate,(-)-Gallocatechin gallate,HMDB0243513,1287,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-haematoxylin,(-)-Haematoxylin,HMDB0242211,10603,51686,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-huperzine a (hupa),(-)-Huperzine A (HupA),HMDB0242212,1253,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-ibogaine,(-)-Ibogaine,HMDB0242213,363272,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-kawain,(-)-Kawain,HMDB0242214,10376,91863,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-marinopyrrole a,(-)-Marinopyrrole A,HMDB0242215,24797083,66678,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-menthyl chloroformate,(-)-Menthyl chloroformate,HMDB0242216,151928,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-morphinan,(-)-Morphinan,HMDB0242217,614838,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(-)-n-(2-((r)-3-(6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline-2-carbonyl)piperidino)ethyl)-4-fluorobenzamide","(-)-N-(2-((R)-3-(6,7-Dimethoxy-1,2,3,4-tetrahydroisoquinoline-2-carbonyl)piperidino)ethyl)-4-fluorobenzamide",HMDB0242218,9825919,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-norephedrine,(-)-Norephedrine,HMDB0243518,4786,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-parthenolide,(-)-Parthenolide,HMDB0242219,4692,95124,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-slaframine,(-)-Slaframine,HMDB0243523,9794202,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-sparteine,(-)-Sparteine,HMDB0243524,3966,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-tylophorine,(-)-Tylophorine,HMDB0242221,5090648,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-vesamicol,(-)-Vesamicol,HMDB0242223,,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
(-)-xestospongin c,(-)-Xestospongin C,HMDB0242224,5701,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(1,1-diamino-4-sulfamoyloxybutyl) sulfamate","(1,1-Diamino-4-sulfamoyloxybutyl) sulfamate",HMDB0242289,53664056,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(1,10,11,12,14,23-hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 3,4-dimethoxybenzoate","(1,10,11,12,14,23-Hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 3,4-dimethoxybenzoate",HMDB0242290,5657,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(1,2,5,6-tetrahydropyridine-4-yl)methylphosphinic acid","(1,2,5,6-Tetrahydropyridine-4-yl)methylphosphinic acid",HMDB0243559,5520,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(1,2-dichloro-2-phenylethenyl)benzene","(1,2-Dichloro-2-phenylethenyl)benzene",HMDB0242291,13714,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
"(1,2-dihydroxyethyl)oxirane","(1,2-Dihydroxyethyl)oxirane",HMDB0243558,108199,,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,1,Tier 3_serum_plasma_compendium
